Category,Object,Rarity,Fun Fact
House,Plant Pot,Super Rare,Plants live in pots and slurp up water from the soil — even indoors they love to grow!
Clothing,T-Shirt,Common,T-shirts are called that because they look like the letter 'T' when laid flat!
Clothing,Socks,Common,Socks help keep your feet warm — and some even have silly faces!
Clothing,Shoes,Common,"Shoes protect your feet and make fun sounds — stomp, stomp, stomp!"
Clothing,Hat,Common,"Hats can keep you cool, warm, or shady — some even have pom-poms!"
Clothing,Jacket,Common,Jackets trap heat to keep you toasty — zip up and feel the cozy!
Clothing,Scarf,Rare,Scarves were used by ancient soldiers to stay dry and look sharp!
Clothing,Gloves,Rare,Gloves keep your fingers warm — they’re like tiny jackets for your hands!
Clothing,Sunglasses,Rare,Sunglasses protect your eyes from bright light — cool and smart!
Clothing,Crown,Super Rare,"Crowns are worn by kings, queens, and dress-up stars — shiny and royal!"
Clothing,Umbrella,Super Rare,"Umbrellas were invented over 2,000 years ago — and they’re like portable roofs!"
Living Room,Sofa,Common,Sofas are super comfy — and the word comes from the Arabic word for 'bench'!
Living Room,TV,Common,TV stands for 'television' — it means seeing things from far away!
Living Room,Lamp,Common,Lamps light up dark spaces — some even change colors or dim!
Living Room,Remote,Common,Remotes send invisible signals to control your TV — zap!
Living Room,Rug,Common,Rugs make floors cozy — some are even made by hand!
Living Room,Bookshelf,Rare,"Bookshelves hold stories, facts, and adventures — ready for reading time!"
Living Room,Console,Rare,Consoles are machines that play video games — they plug into your TV for big screen fun!
Living Room,Blanket,Rare,Blankets trap body heat to keep you warm — cozy up like a burrito!
Living Room,Candle,Super Rare,"Candles melt wax to make light — the earliest ones were used 5,000 years ago!"
Living Room,Record Player,Super Rare,Record players spin flat discs to make music — that’s sound made with a needle!
Toys & Crafts,Teddy Bear,Common,Teddy bears were named after President Teddy Roosevelt — snuggly and historic!
Toys & Crafts,Toy Car,Common,Toy cars zoom with tiny wheels — some even have doors that open!
Toys & Crafts,Crayon,Common,Crayons are made of wax and color — they melt if they get too warm!
Toys & Crafts,LEGO,Common,LEGO bricks click together and were invented in Denmark — the name means 'play well'!
Toys & Crafts,Paintbrush,Common,"Paintbrushes have soft bristles — perfect for swirls, lines, and splats!"
Toys & Crafts,Doll,Rare,Dolls have been around for thousands of years — even kids in ancient Egypt had them!
Toys & Crafts,Puzzle Piece,Rare,Each puzzle piece is a clue — connect them all to see the big picture!
Toys & Crafts,Stickers,Rare,Stickers come in all shapes — some even smell like fruit!
Toys & Crafts,Magic Wand,Super Rare,Magic wands are for pretend play — whoosh! You’re a wizard now!
Toys & Crafts,Paint Brush,Super Rare,"Paint brushes help you turn colors into pictures — dab, swirl, and splatter!"
